Top 15 Worst-Selling Items for Each café,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Low-Selling Products Comparison Across Three Cafés,,,,,,,,,,
store_location,product_detail,Total Sales,,store_location,product_detail,Total Sales,,store_location,product_detail,Total Sales
Eastern,Dark Chocolate,13,,Northern,Lemongrass,30,,Central,“I Need My Bean!” T-Shirt,24
,Earl Grey,30,,,Espresso Primo Roast,31,,,“I Need My Bean!” Mug,30
,Traditional Green Tea,31,,,Organic Guatemala,35,,,Spiced Green Tea Eye Opener,35
,Spiced Green Tea Eye Opener,37,,,Colombia Medium Roast,37,,,Serenity Green Tea,44
,Organic Guatemala,40,,,Mint,37,,,English Breakfast,48
,Lemongrass,42,,,Dark Chocolate,39,,,Chile,49
,Serenity Green Tea,42,,,Earl Grey,41,,,Jamaica,53
,Organic Decaf Blend,44,,,Jamaica,42,,,Colombia Medium Roast,54
,Civet Cat,45,,,Traditional Green Tea,44,,,Organic Guatemala,59
,Espresso Primo Roast,46,,,Espresso Roast,46,,,Mint,61
,Our Classic Blend,46,,,Morning Sunrise Green Tea,48,,,Ethiopia,64
,Chile,47,,,Our Classic Blend,48,,,“I Need My Bean!” Cup,65
,Organic Brazil,47,,,Spiced Green Tea Eye Opener,50,,,Dark Chocolate,66
,Organic,50,,,Civet Cat,51,,,Morning Sunrise Green Tea,68
,Espresso Roast,51,,,Chile,52,,,Earl Grey,71
,Jamaica,51,,,English Breakfast,58,,,Espresso Roast,72
,Morning Sunrise Green Tea,52,,,Serenity Green Tea,73,,,Espresso Primo Roast,73
,English Breakfast,55,,,Organic Decaf Blend,75,,,Organic Brazil,75
,Mint,55,,,Ethiopia,79,,,Traditional Green Tea,78
,Colombia Medium Roast,57,,,“I Need My Bean!” T-Shirt,86,,,Lemongrass,80
,“I Need My Bean!” Mug,66,,,Organic,89,,,Organic,82
,Ethiopia,75,,,Organic Brazil,92,,,Organic Decaf Blend,87
,“I Need My Bean!” Cup,102,,,“I Need My Bean!” Mug,144,,,Our Classic Blend,89
,“I Need My Bean!” T-Shirt,111,,,“I Need My Bean!” Cup,148,,,Civet Cat,164
,Hazelnut Syrup,434,,,Ginger Biscotti,540,,,Oatmeal Bun,521
,Caramel Syrup,535,,,Scottish Cream Bun,601,,,Chocolate Chip Biscotti,546
,Sugar-Free Vanilla Syrup,567,,,Almond Croissant,642,,,Giant Savory Bun,607
,Scottish Cream Bun,603,,,Oatmeal Bun,646,,,Croissant,612
,Croissant,606,,,Cranberry Bun,687,,,Almond Croissant,646
,Almond Croissant,623,,,Hazelnut Biscotti,709,,,Hazelnut Biscotti,655
,Ginger Biscotti,639,,,Giant Savory Bun,721,,,Ginger Biscotti,657
,Ginger Bun,648,,,Chocolate Chip Biscotti,726,,,Cranberry Bun,720
,Chocolate Chip Biscotti,652,,,Croissant,736,,,Scottish Cream Bun,781
,Oatmeal Bun,653,,,Ginger Bun,1001,,,Hazelnut Syrup,867
,Hazelnut Biscotti,664,,,Chocolate Croissant,1031,,,Chocolate Syrup,889
